id;id_user;id_guild_server;date_anniversaire
1;mobile Fish;Home Loan Account Table Computer;2020-07-27T19:10:46
2;FTP Savings Account;deposit Tasty Metal Bacon Implementation;2020-07-27T20:33:17
3;Officer;methodology Albania;2020-07-27T10:12:25
4;intangible;enable Gorgeous Frozen Pants;2020-07-27T14:59:13
5;Licensed Savings Account;Cambridgeshire Mississippi;2020-07-27T19:27:31
6;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;2020-07-27T15:01:56
7;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;2020-07-27T04:40:23
8;hardware Costa Rica Mayotte;Industrial;2020-07-27T00:21:32
9;Views e-enable Communications;National Awesome sky blue;2020-07-27T19:29:17
10;software scale interactive;Louisiana Specialist Home Loan Account;2020-07-27T13:56:59
