id;id_guild_server;id_channel;activated;hour
1;scalable;Small;true;42340
2;reinvent 24 hour Jewelery;monitor;true;79017
3;Checking Account Identity deposit;IB Investment Account archive;false;37081
4;Lempira;pixel withdrawal;true;56124
5;embrace Developer;synthesize Idaho compress;false;4043
6;system Small;Intelligent Outdoors;true;47537
7;Montana;Corporate Phased relationships;true;20306
8;Brand;neutral Salad;true;62435
9;modular Refined Squares;maroon;true;88328
10;projection Fresh;support Gorgeous;false;64769
